Type,Date,City,State,Address,Website_URL,Phone_Number,Details_URL
outdoor,2015-04-24,Opelika, AL,,http://AL.milesplit.com/venues/1476,,http://al.milesplit.com/meets/194713-ahsaa-2a-section-3
indoor,2015-03-13,Winston-Salem, NC,,,,http://co.milesplit.com/meets/198556-ncaa-diii-indoor-championships
indoor,2015-03-13,New York, NY,,,,http://usa.milesplit.com/meets/186760-new-balance-nationals-indoor
indoor,2015-03-13,Birmingham, AL,,,,http://co.milesplit.com/meets/186110-ncaa-dii-indoor-track-and-field-championships
indoor,2015-03-13,Fayetteville, AR,,http://ar.milesplit.com/teams/UAF,,http://co.milesplit.com/meets/186123-ncaa-di-indoor-track-and-field-championships
indoor,2015-03-09,Hampton, VA,,http://VA.milesplit.com/teams/BETHE,,http://va.milesplit.com/meets/189355-vhsl-group-6a-state-indoor-t-f-championships
indoor,2015-03-09,Hampton, VA,,http://VA.milesplit.com/teams/MVIEW,,http://va.milesplit.com/meets/189356-vhsl-group-5a-state-indoor-t-f-championships
outdoor,2015-04-24,Tuscaloosa, AL,,http://AL.milesplit.com/teams/AMER,,http://al.milesplit.com/meets/194712-ahsaa-2a-section-2
outdoor,2015-04-24,Smiths Station, AL,,http://AL.milesplit.com/teams/SMTH,,http://al.milesplit.com/meets/194709-ahsaa-1a-section-3
outdoor,2015-04-24,Montgomery, AL,,http://AL.milesplit.com/venues/9400,,http://al.milesplit.com/meets/194708-ahsaa-1a-section-2
outdoor,2015-04-24,Dora, AL,,http://AL.milesplit.com/teams/CORN,,http://al.milesplit.com/meets/194710-ahsaa-1a-section-4
indoor,2015-03-09,Lynchburg, VA,,http://VA.milesplit.com/teams/STAUN,,http://va.milesplit.com/meets/189352-vhsl-group-4a-state-indoor-t-f-championships
indoor,2015-03-09,Lynchburg, VA,,http://VA.milesplit.com/teams/STAUN,,http://va.milesplit.com/meets/189351-vhsl-group-3a-state-indoor-t-f-championships
outdoor,2015-04-24,Montgomery, AL,,http://AL.milesplit.com/venues/9400,,http://al.milesplit.com/meets/194711-ahsaa-2a-section-1
outdoor,2015-04-24,Tuscaloosa, AL,,http://AL.milesplit.com/teams/AMER,,http://al.milesplit.com/meets/194707-ahsaa-1a-section-1
indoor,2015-03-09,Naperville, IL,,http://IL.milesplit.com/teams/DGSHS,,http://il.milesplit.com/meets/192562-downers-grove-south-mustang-relays
indoor,2015-03-07,Rolling Meadows, IL,,http://IL.milesplit.com/venues/7252,,http://il.milesplit.com/meets/192561-windy-city-pole-vault-summit
indoor,2015-03-07,Akron, OH,,,,http://oh.milesplit.com/meets/189396-oatccc-indoor-state-championship
indoor,2015-03-07,Ithaca, NY,,http://NY.milesplit.com/teams/CORN,,http://ny.milesplit.com/meets/186761-nysphsaa-ny-state-champs
outdoor,2015-04-23,Philadelphia, PA,,http://pa.milesplit.com/teams/UPENN,,http://co.milesplit.com/meets/185046-the-penn-relays-carnival
outdoor,2015-04-18,Clovis, CA,,http://CA.milesplit.com/teams/BUCHS,,http://ca.milesplit.com/meets/190104-west-coast-relays
outdoor,2015-04-18,Woodbury, NJ,,http://NJ.milesplit.com/teams/4122,,http://nj.milesplit.com/meets/199567-the-woodbury-relays
outdoor,2015-04-18,Shippensburg, PA,,http://PA.milesplit.com/venues/2176,,http://pa.milesplit.com/meets/193388-shippensburg-89th-jack-roddick-hs-invitational
outdoor,2015-04-18,Pasco, WA,,http://WA.milesplit.com/teams/PASCO,,http://wa.milesplit.com/meets/193089-pasco-invitational
outdoor,2015-04-18,Forestville, MD,,http://MD.milesplit.com/venues/12641,,http://md.milesplit.com/meets/178383-mcnamara-mustangs-invitational
indoor,2015-03-07,Ypsilanti, MI,,http://IA.milesplit.com/teams/NAAU,,http://usa.milesplit.com/meets/191311-aau-14-under-youth-national-indoor-championship
indoor,2015-03-06,Gillette, WY,,http://wy.milesplit.com/teams/GILHS,,http://co.milesplit.com/meets/189439-wyoming-state-indoor-track-field-championships
indoor,2015-03-05,Geneva, OH,,,,http://co.milesplit.com/meets/191168-naia-indoor-track-national-championship
indoor,2015-03-03,New York, NY,,,,http://ny.milesplit.com/meets/186757-81st-eastern-states-championships
indoor,2015-03-01,West Point, NY,,http://al.milesplit.com/teams/,,http://co.milesplit.com/meets/202351-aau-indoor-track-field-national-championship
outdoor,2015-04-17,Woodbury, NJ,,http://NJ.milesplit.com/teams/4122,,http://nj.milesplit.com/meets/199570-the-woodbury-middle-school-relays
outdoor,2015-04-17,New York, NY,,http://NY.milesplit.com/venues/5811,,http://ny.milesplit.com/meets/198229-new-york-relays
outdoor,2015-04-17,Mesa, AZ,,http://AZ.milesplit.com/venues/7571,,http://az.milesplit.com/meets/193989-hohokam-invitational
outdoor,2015-04-17,Indianapolis, IN,,http://in.milesplit.com/teams/FCEN,,http://co.milesplit.com/meets/192196-flashes-showcase
outdoor,2015-04-16,Eugene, OR,,http://OR.milesplit.com/teams/UO,,http://or.milesplit.com/meets/193088-oregon-relays
outdoor,2015-04-16,Walnut, CA,,http://CA.milesplit.com/teams/MTSAC,,http://ca.milesplit.com/meets/190096-mt-sac-relays
outdoor,2015-04-11,Denver, CO,,http://CO.milesplit.com/teams/MULL,,http://co.milesplit.com/meets/184413-mullen-adidas-runners-roost-invitational
indoor,2015-03-01,State College, PA,,,,http://pa.milesplit.com/meets/182361-2015-ptfca-indoor-state-championship
indoor,2015-02-28,Johnson City, TN,,http://tn.milesplit.com/teams/KYA,,http://co.milesplit.com/meets/186696-tennessee-state-hs-indoor-track-championships
